id;status;api_mark;statusCode;success;set_order_id
464974;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464974
459029;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;459029
464952;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464952
464901;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464901
464889;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;464889
466114;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466114
465337;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465337
466014;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466014
466107;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466107
466639;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466639
466572;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466572
466490;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466490
466463;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466463
466366;parcel-on-a-place;from_BetaPost_API;2016-07-17;200;1;466366
466326;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466326
466618;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466618
466278;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466278
466530;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466530
466271;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466271
466432;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466432
466259;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466259
466311;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466311
466238;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466238
465732;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465732
466183;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;466183
465551;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;465551
469031;injob;from_BetaPost_API;200;1;469031
